Date,Name,Year,Letterboxd URI,Rating,Tags,Watched_Date
2017-08-15,Look Who's Back,2015,https://letterboxd.com/twuyver/film/look-whos-back-2015/,4,"comedy, German",2017-08-14
2017-08-15,Star Wars: The Force Awakens,2015,https://letterboxd.com/twuyver/film/star-wars-the-force-awakens/,4,scifi,2017-08-14
2017-08-16,Criminal,2016,https://letterboxd.com/twuyver/film/criminal-2016/,2.5,scifi,2017-08-15
2017-08-18,Big Game,2014,https://letterboxd.com/twuyver/film/big-game-2014/,2,,2017-08-17
2017-08-18,A View to a Kill,1985,https://letterboxd.com/twuyver/film/a-view-to-a-kill/,2.5,,2017-08-17
2017-08-19,RED,2010,https://letterboxd.com/twuyver/film/red-2010/,4,,2017-08-19
2017-08-24,Rogue One: A Star Wars Story,2016,https://letterboxd.com/twuyver/film/rogue-one-a-star-wars-story/1/,5,,2017-08-23
2017-08-31,A Good Day to Die Hard,2013,https://letterboxd.com/twuyver/film/a-good-day-to-die-hard/,2,,2017-08-30
2017-09-01,Death Note,2017,https://letterboxd.com/twuyver/film/death-note-2017/,2.5,Netflix,2017-08-31
2017-09-01,Doctor Strange,2016,https://letterboxd.com/twuyver/film/doctor-strange-2016/,4,superhero,2017-08-31
2017-09-04,Skyfall,2012,https://letterboxd.com/twuyver/film/skyfall/,4,,2017-09-03
2017-09-05,X-Men: Days of Future Past,2014,https://letterboxd.com/twuyver/film/x-men-days-of-future-past/,3.5,,2017-09-04
2017-09-07,True Lies,1994,https://letterboxd.com/twuyver/film/true-lies/,4,,2017-09-06
